Hero,Win phrase,Lose phrase
Invoker,"**{username}** на **{hero}** наверное думал, что победа приходит тем, кто знает все заклинания и действительно победил со счетом **{score}**","**{username}** на **{hero}** похоже забыл, что знание заклинаний не гарантирует победу и проиграл со счетом **{score}**"
Gyrocopter,**{username}** взорвал **{hero}** и сделал это стильно со счетом **{score}**,**{username}** не смог управлять **{hero}** и проиграл со счетом **{score}**
Techies,**{username}** запустил **{hero}** в небо и взорвал его со счетом **{score}**,**{username}** устроил слишком много взрывов вокруг **{hero}** и проиграл со счетом **{score}**
Grimstroke,**{username}** смог скопировать **{hero}** и победил со счетом **{score}**,**{username}** не смог воспользоваться магией **{hero}** и проиграл со счетом **{score}**
Kunkka,"**{username}** уничтожил **{hero}** волной, как малое судно со счетом **{score}**",**{username}** не смог держать курс и потерпел поражение на **{hero}** со счетом **{score}**
Lich,**{username}** великолепно играл на **{hero}** и растерзал противников со счетом **{score}**,"**{username}** попробовал сыграть за **{hero}**, но не смог достичь победы со счетом **{score}**"
Legion Commander,"**{username}** был настолько удачлив на **{hero}**, что противники сдались уже на **{score}** очке",**{username}** на **{hero}** попал в ловушку и был побежден со счетом **{score}**
Lina,"**{username}** взял **{hero}** и показал, кто здесь главный, одержав победу со счетом **{score}**","**{username}** попробовал свои силы на **{hero}**, но увы, был разбит противниками со счетом **{score}**"
Lion,"**{username}** собрался на **{hero}** и одержал победу со счетом **{score}**, заставив противников содрогнуться от страха",**{username}** на **{hero}** попал в ловушку и был побежден со счетом **{score}**
Lone Druid,"**{username}** был настолько хорош на **{hero}**, что победил противников со счетом **{score}**, не сделав ни одной ошибки","**{username}** попытался использовать **{hero}**, но противники оказались сильнее и победили со счетом **{score}**"
Magnus,"**{username}** показал всем, что у него большой RP на **{hero}** и выиграл со счетом **{score}**","**{username}** слишком много крутился вокруг **{hero}**, но не смог выиграть, счет **{score}**"
Medusa,"**{username}** превратил всех в камень на **{hero}**, победа со счетом **{score}**","**{username}** не смогла находить общий язык с командой на **{hero}**, поражение со счетом **{score}**"
Meepo,"**{username}** теперь точно знает, что один Meepo лучше, чем пять на **{hero}**, победа со счетом **{score}**","**{username}** пытался справиться с пятью Meepo на **{hero}**, но не смог, поражение со счетом **{score}**"
Monkey King,"**{username}** на **{hero}** был не хуже, чем настоящий обезьян, победа со счетом **{score}**","**{username}** на **{hero}** не смог дойти до банана, поражение со счетом **{score}**"
Naga Siren,**{username}** навел ужас на врагов с **{hero}** и выиграл со счетом **{score}**,"**{username}** попытался спеть, но его Naga Siren перепела и он проиграл со счетом **{score}**"
Necrophos,**{username}** нанес смертельный урон с **{hero}** и одержал победу со счетом **{score}**,**{username}** был убит на **{hero}** и проиграл со счетом **{score}**. Его душа теперь принадлежит Necrophos
Night Stalker,**{username}** зажег свет в темноте с **{hero}** и победил со счетом **{score}**,**{username}** не смог справиться с тьмой на **{hero}** и проиграл со счетом **{score}**. Ночь принадлежит Night Stalker
Nyx Assassin,**{username}** пробрался в лагерь врагов с **{hero}** и одержал победу со счетом **{score}**,**{username}** попался на глаза Nyx Assassin на **{hero}** и проиграл со счетом **{score}**
Nature's Prophet,**{username}** использовал всю мощь природы на **{hero}** и победил со счетом **{score}**,**{username}** не смог убежать от природы на **{hero}** и проиграл со счетом **{score}**. Nature's Prophet празднует свою победу
Ogre Magi,**{username}** взорвал всех на **{hero}** со счетом **{score}**!,"**{username}** наверное забыл что Ogre Magi - это не две головы, а одна. **{hero}** победил со счетом **{score}**"
Omniknight,**{username}** распространил свет и победил на **{hero}** со счетом **{score}**!,"**{username}** упустил свою роль поддержки, **{hero}** победил со счетом **{score}**"
Outworld Devourer,**{username}** почти съел все мозги на **{hero}** со счетом **{score}**!,**{username}** не смог прожевать свою еду и проиграл на **{hero}** со счетом **{score}**
Oracle,**{username}** предсказал свою победу на **{hero}** со счетом **{score}**!,**{username}** не смог использовать свои предсказания и проиграл на **{hero}** со счетом **{score}**
Ogre Frostmage,**{username}** замелил все на своем пути на **{hero}** со счетом **{score}**!,**{username}** замерз на месте и проиграл на **{hero}** со счетом **{score}**
Puck,**{username}** вызвал духов и победил на **{hero}** со счетом **{score}**!,**{username}** не смог управлять своей магией на **{hero}** и проиграл со счетом **{score}**...
Phoenix,**{username}** восстал из пепла и одержал победу на **{hero}** со счетом **{score}**!,**{username}** не смог покорить небес на **{hero}** и потерпел поражение со счетом **{score}**...
Phantom Assassin,**{username}** сделал критический удар на **{hero}** и победил со счетом **{score}**!,**{username}** не смог избежать удара на **{hero}** и потерпел поражение со счетом **{score}**...
Phantom Lancer,**{username}** создал множество иллюзий на **{hero}** и одержал победу со счетом **{score}**!,**{username}** не смог создать достаточное количество иллюзий на **{hero}** и проиграл со счетом **{score}**...
Pudge,**{username}** вытащил **{hero}** из игры и победил со счетом **{score}**!,**{username}** не смог заманить свою добычу на **{hero}** и потерпел поражение со счетом **{score}**...
Pangolier,**{username}** прокатился на ускользающем **{hero}** и одержал победу со счетом **{score}**!,**{username}** не смог контролировать своего ускользающего **{hero}** и проиграл со счетом **{score}**...
Riki,"**{username}** точно знал, что **{hero}** - это ключ к победе, счет **{score}**","**{username}** слишком долго танцевал вокруг **{hero}**, счет **{score}**"
Razor,"**{username}** сделал **{hero}** еще мощнее, счет **{score}**","**{username}** ушел с поля боя и подарил **{hero}** победу, счет **{score}**"
Rubick,"**{username}** украл у противника все тайны, в том числе и победу на **{hero}**, счет **{score}**","**{username}** не смог повторить лучшие трюки на **{hero}**, счет **{score}**"
Shadow Shaman,"**{username}** смог обуздать силы стихий на **{hero}** и одержать победу, счет **{score}**","**{username}** подписал свой приговор, когда выбрал **{hero}** и проиграл, счет **{score}**"
Sand King,**{username}** что-то сделал для победы на Sand King со счетом **{score}**,"Ну что ж, **{username}**, красиво проиграл на Sand King со счетом **{score}**"
Shadow Demon,**{username}** с легкостью одержал победу на Shadow Demon со счетом **{score}**,"Ох, **{username}**, Shadow Demon тебе не подходит. Со счетом **{score}** проигрыш"
Shadow Fiend,**{username}** умудрился победить на Shadow Fiend со счетом **{score}**,"**{username}**, хватит играть на Shadow Fiend. Твой счет - **{score}**"
Silencer,**{username}** разрушил врагов на Silencer со счетом **{score}**,"Не сегодня, **{username}**. На Silencer со счетом **{score}** поражение"
Skywrath Mage,**{username}** смог заставить врагов побежать от Skywrath Mage со счетом **{score}**,"**{username}**, ты слишком слаб для Skywrath Mage. **{score}** - счет второй игры на этом герое"
Slardar,"**{username}** показал всем, как нужно играть на Slardar. Победа со счетом **{score}**","Следующий раз лучше просто не играть на Slardar, **{username}**. Со счетом **{score}**"
Slark,**{username}** сделал невозможное и победил на Slark со счетом **{score}**,"**{username}**, не знаю, что ты пытался сделать на Slark. Но счет **{score}** говорит о поражении"
Snapfire,"**{username}** устроил настоящий файерворк на Snapfire, одержав победу со счетом **{score}**","Не судьба победить на Snapfire, **{username}**. **{score}** - счет в проигрыше"
Spectre,**{username}** смог победить на Spectre со счетом **{score}**. Так держать!,"**{username}**, Spectre не твой герой. Со счетом **{score}** проигрыш"
Spirit Breaker,**{username}** обрушился на врагов на Spirit Breaker и победил со счетом **{score}**,"**{username}**, ты так и не понял, что нужно делать на Spirit Breaker. **{score}** - счет поражения на этом герое"
